poradi,lokalita,otazka,datum,opravnene_osoby,ucast,platnost_referenda,pro,proti,zavaznost,platnost_hlasovani
217.0,"Brno                       (Brno, JMK)","1. Souhlasíte s tím, aby město Brno podniklo bezodkladně všechny kroky v samostatné působnosti k modernizaci železniční stanice „Brno - hlavní nádraží"" v dosavadní poloze podél ulice Nádražní?",7. - 8. 10. 2016,306981,0.2383,NE,"59211     (80,94%)","9597     (13,12%)",NE       (76746),
,,"2. Souhlasíte s tím, aby město Brno podniklo bezodkladně všechny kroky v samostatné působnosti s cílem prosadit, aby se nejlepší řešení modernizace železniční stanice „Brno - hlavní nádraží"" určilo prostřednictvím soustavy otevřených návrhových soutěží?",,,,,"49663    (69,78%)","11675      (15,96%)",,
218.0,"Krásný dvůr                        (Louny, ÚSK)",Chcete těžbu bentonitu eventuálně dalších nerostných surovin v katastrálním území Krásný dvůr?,2015-02-07 00:00:00,589,0.324,NE,neoznámeno,,NE          (148),
219.0,"Černolice           (Praha - západ, STK)","Chcete: aby způsob využití pozemků p.č. 304, 283/1, 283/2, 283/3, 283/4, 283/5, 283/6, 283/7, 283/8, 283/9, 283/10, 283/11, 283/12, 283/13, k.ú. Černolice (známé též jako lokalita „V Prokopávce“) byl v územním plánu obce Černolice ponechán ve stávajícím způsobu využití těchto pozemků dle aktuálních údajů v katastru nemovitostí ke dni vyhlášení referenda, tedy neurčené pro bydlení či jinou výstavbu, dále aby způsob využití pozemků p.č. 261/1, 261/40, 261/41 a 261/49, k.ú. Černolice (známé též jako lokalita „Pod Chvalovským“) byl v územním plánu obce Černolice ponechán ve stávajícím způsobu využití těchto pozemků dle aktuálních údajů v katastru nemovitostí ke dni vyhlášení referenda, tedy neurčené pro bydlení či jinou výstavbu, s výjimkou části pozemku p.č. 261/49 v rozsahu maximálně 5300 m2 souběžně s pozemkem p.č.260/2 dle vyznačeného orientačního plánku (tučně ohraničená část), kde chcete, aby byla možná změna způsobu využití na bydlení v rodinných domech dále aby způsob využití pozemků p.č. 100/32, 100/37, 100/39, k.ú. Černolice (známé též jako lokalita „Ve Slatinách“) byl v územním plánu obce Černolice ponechán ve stávajícím způsobu využití těchto pozemků dle aktuálních údajů v katastru nemovitostí ke dni vyhlášení referenda, tedy neurčené pro bydlení či jinou výstavbu, s výjimkou části pozemku p.č. 100/37 v rozsahu maximálně 4000 m2 ze strany navazující na pozemek p.č. 100/44 a 100/28 dle vyznačeného orientačního plánku (tučně ohraničená část), kde chcete, aby byla možná změna způsobu využití na bydlení v rodinných domech.",24.5.2015      12:00 - 22: 00,303,0.452,ANO,"119         (89,89%)","15      (10,95%)",ANO            (76),
220.0,Škvorec               (Praha - výchd),"Souhlasíte s tím, aby městys Škvorec vstoupil do projektu svazkové školy Povýmolí?",29.6 2015   10:00 - 22:00,1135,0.538,ANO,"23          (3,76%)","578  (94,6%)",ANO      (284),
221.0,"Křešín            (Příbram, STK)","Souhlasím s tím, aby obec Křešín prodala ze svého vlastnictví pozemky parc. Číslo č. parc. 102, 164/1, 198, 199/2, 199/3, 199/4, 199/5,199/6, 199/11, 199/14, 199/15, 199/16, 199/17, 199/18, 199/20 a 203, vše v kat. území a obci Křešín?",12.9.2015     09:00 - 14:00,74,0.763,ANO,"9    (12,16%)","63   (85,14%)",ANO             (25),
222.0,"Podolí                (Brno - venkov, JHM)","Souhlasíte s tím, aby v katastrálním území obce Podolí v oblasti Průmyslové zóny u Slatiny vzniklo a bylo provozováno Kasino?",23. 10. 2015        8:00 - 22:00,1100,0.6836,ANO,"235   (21,36%)","509   (46,27%)",ANO      (275),
223.0,"Miroslav          (Znojmo, JMK)","Souhlasíte, aby město Miroslav, z důvodu zlepšení míry ochrany veřejného pořádku, učinilo veškeré právní kroky vedoucí k zákazu provozování loterií a sázkových her, zejména výherních hracích přístrojů a interaktivních  videoloterijních terminálů a jiných obdobných přístrojů uvedených v ust. § 2 písm. e), g), i), j), l), m) a n) a ust. § 50 odst. 3 zákona České národní rady č. 202/1990 Sb., o loteriích a jiných podobných hrách, ve znění pozdějších předpisů, a to na celém jeho území?",2015-11-07 00:00:00,2398,0.137,NE,"287     (87,23%)","31     (9,42)",NE          (600),
224.0,"Přestavlky u Čerčan      (Benešov, STK)","Souhlasíte s tím, aby zastupitelstvo obce schválilo v návrhu nového územního plánu realizaci záměru rodinné ekofarmy v lokalitě Dubsko, která je dle odborníků i dotčených orgánů navržena s ohledem na všechna zákonná kritéria ochrany krajinného rázu?",13. 11. 2015        16:00 - 20:00,281,0.4911,ANO,"39      (28,26%)","98      (71,01%)",ANO            (71),
225.0,"Šebrov-Kateřina (Blansko, JHM)","Souhlasíte s tím, aby Obec Šebrov - Kateřina provedla na své náklady realizaci stavby umožňující pořádání sportovních, kulturních a společenských akcí dle záměru vyvěšeného na úřední desce dne 15.10.2015?",27. 11. 2015    14:00 - 22:00,594,0.537,ANO,"230     (72,1%)","80     (25,08%)",ANO      (149),
226.0,"Karlík                 (Praha-západ, STČ)","Požadujete, aby v k. ú. Karlík nevznikaly nové zastavitelné plochy jiné než pro ochranu přírody a krajiny, pro veřejnou dopravní a technickou infrastrukturu, pro snižování nebezpečí ekologických a přírodních katastrof a pro odstraňování jejich důsledků, pro vodní hospodářství a pro zlepšení podmínek pro účely rekreace a cestovního ruchu, například cyklistické stezky či hygienická zařízení?",2016-03-12 00:00:00,366,0.626,ANO,"130           (56,77 %)","98              (42,79%)",ANO         (92),
227.0,"Rychnov na Moravě      (Svitavy, PK)","Souhlasím s tím, aby obec Rychnov na Moravě realizovala výstavbu tlakové kanalizace v obci?",20.2.2016           9:00 - 21:00,489,0.626,ANO,"226      (73,86%)","79        (25,82%)",ANO       (123),
228.0,"Slavětice            (Třebíč, VYS)","1. Souhlasíte se stavbou trvalého úložiště jaderného odpadu a nových bloků Jaderné elektrárny Dukovany na k.ú. Slavětic, nebo v bezprostřední blízkosti obce (k.ú. zaniklých obcí), bez připomínek?",10.4.2016       9:00 - 21:00,194,0.784,ANO,"11   (7,24%)","89      (58,55%)",ANO          (49),
,,"2. Souhlasíte se stavbou nových bloků Jaderné elektrárny Dukovany na k.ú. Slavětic, nebo v bezprostřední blízkosti obce (k.ú. zaniklých obcí), v případě, že vláda ČR bude dostatečně kompenzovat zhoršení životních podmínek občanů Slavětic?",,,0.784,ANO,"136      (89,47%)","60     (37,47%)",,
229.0,"městský obvod Ostrava-Jih       (Ostrava, MSK)","1. Souhlasíte s tím, aby došlo ke sloučení Základní školy a mateřské školy Ostrava-Hrabůvka, Mitušova 8, příspěvkové organizace a Základní školy a meteřské školy Ostrava Hraůvka, Mitušova 16, příspěvkové organizace?",30.4. 2016      10:00 - 18:00,86394,0.0357,NE,"318          (10,31%)","2803           (90,92%)",NE       (21599),
,,"2. Souhlasíte s tím, aby k jakýmkoliv rozhodnutím ze strany Rady a Zastupitelstva městského obvodu Ostrava-Jih, týkajícím se slučování nebo rušení základních a mateřských škol na území městského obvodu Ostrava-Jih, bylo ze strany Rady a Zastupitelstva městského obvodu Ostrava-Jih přistoupeno vždy až po předchozím veřejném projednání s občany a zpracování odborné koncepce nezávislou třetí osobou?",,,,,"2667          (86,51%)","231           (7,49%)",,
230.0,"Veliká Ves                (Praha-východ, STČ)","Chcete, aby na části parcely č. 757/3 v k.ú. Veliká Ves, ktetá se nachází u obce Podlesice (700 metrů od vesnice), byla postavena farma skotu s minimální kapacitou 1500 kusů dopytka a bioplynová stanice?",25.6. 2016      08:00 - 16:00,246,0.3699,ANO,"45        (49,45%)","40       (43,96%)",NE                 (62),
231.0,"Bavory                (Břeclav, JMK)",Souhlasíte s výstavbou plánované dálnice D52 přes katastrální území obce Bavory v trase stávající komunikace R52?,4.6. 2016      08:00 - 21:00,325,0.4646,ANO,"90       (59,6%)","60     (39,74%)",ANO            (82)      ,
232.0,"Úvaly                         (Praha-Východ, STK)","Jste pro to, aby bylo obnoveno úvalské koupaliště, i když o náklady s tím spojené budou kráceny finanční prostředky určené na rekonstrukci infrastruktury a ostatního majetku města?",7. - 8. 10. 2016,4785,0.5024,ANO,1803      (75%),"488        (20,3%)",ANO        (1197),
233.0,"Říčany                       (Praha-Východ, STK)","Souhlasíte s tím, aby město Říčany v samostatné působnosti jednalo tak, aby v katastrálních územích města nedošlo do roku 2030 k výstavbě, která by měla za následek  zvýšení počtu obyvatel města nad                  20 000?",7. - 8. 10. 2016,11204,0.3356,NE,"3194        (84,86%)","395     (10,49%)",NE (2801),
234.0,"Břeclav              (Břeclav, JMK)","Požadujete, aby orgány města Břeclav do doby kompletního zprovoznění obchvatu Břeclavi činily veškeré kroky v samostatné působnosti k tomu, aby zabránily výstavbě dalších velkoprodejen a nákupních center v blízkosti tř. 1 máje a ulice Národních hrdinů (zvláště v areálu bývalého podniku TRANZA, na tzv. zámeckých loukách a v areálu bývalého cukrovaru?",7. - 8. 10. 2016,20461,0.2579,NE,"4151    (78,66%)      ","1057      (20,03%)",NE (5116),
235.0,"Podolí                (Uherské Hradiště, ZLK)","1. Souhlasíte s tím, aby obec Podolí podnikla veškeré kroky v samostatné působnosti, aby pozemek p. č. 4328/2 v k. ú. Podolí nad Olšavou či jeho části zůstaly v majetku obce?",7. - 8. 10. 2016,675,0.573,ANO,"371       (95,87%)","14    (3,62%)",ANO         (169),
,,"2. Souhlasíte s tím, aby obec Podolí podnikla veškeré kroky v samostatné působnosti, aby zachovala současné využití pozemku p. č. 4328/2 v k. ú. Podolí nad Olšavou či jeho částí, tedy jako trvalý travní porost?",,,,,"370    (95,61%)","14        (3,62%)",,
,,"3. Souhlasíte s tím, aby obec Podolí podnikla veškeré kroky v samostatné působnosti, aby nevyjímala z nadregionálního biocentra Hluboček žádné pozemky ve vlastnictví obce Podolí ani jejich části a aby podnikla veškeré kroky v samostatné působnosti, aby pozemky ve vlastnictví obce Podolí, které jsou součástí nadregionálního biocentra Hluboček, zůstaly v majetku obce?",,,,,"373       (96,38%)","11       (2,84%)",,
,,"4. Souhlasíte s tím, aby obec Podolí podnikla veškeré kroky v samostatné působnosti, aby pozemky ve vlastnictví obce Podolí, kterými vedou inženýrské sítě a domovní přípojky k inženýrským sítím, zůstaly v majetku obce?",,,,,"364        (94,06%)","19     (4,91%)",,
236.0,"Kyškovice       (Litoměřice, ÚSK)",Souhlasíte s těžbou výhradního ložiska štěrkopísku v katastru obce Kyškovice?,7. - 8. 10. 2016,237,0.759,ANO,0,"178       (98,89%)",ANO         (60),
237.0,"Losiná                     (Plzeň-město, PLK)","Souhlasím s tím, aby obec Losiná pokračovala všemi zákonnými prostředky v tom, aby obchodní společnosti P&P Březina servis s.r.o., IČO 26351919, se sídlem č.p. 303, 332 04 Losiná, nebo jejím právním nástupcům, zabránila ve výstavbě betonárny v obci Losiná?",7. - 8. 10. 2016,1039,0.5419,ANO,"343     (60,92%)","206       (36,59%)",ANO           (260),
238.0,"Protivanov   (Prostějov, OLK)","Souhlasíte s tím, aby zastupitelstvo městyse Protivanov podporovalo rozšíření stávajícího větrného parku nacházejícího se v katastrálním území Protivanov o dalších maximálně 5 větrných elektráren?",7. - 8. 10. 2016,810,0.489,ANO,"225     (56,82%)","155     (39,14%)",ANO          (203),
239.0,"Vědomice    (Litoměřice, ÚSK)",Souhlasíte s těžbou výhradního ložiska štěrkopísku v katastru obce Vědomice?,7. - 8. 10. 2016,687,0.716,ANO,"6      (1,22%)","485     (98,58%)",ANO      (172),
240.0,"Starý Plzenec      (Plzeň - město, PLK)","Souhlasíte s tím, aby zastupitelstvo a rada města Starého Plzence bezodkladně podnikly veškeré kroky v samostatné působnosti k zabránění výstavby obchodního zařízení o prodejní ploše větší než 200 m2 v blízkosti Základní školy Starý Plzenec v prostoru vymezeném ulicemi Nádražní - Radyňská - Nerudova - Jiráskova v katastrálním území Starý Plzenec?",7. - 8. 10. 2016,4066,0.526,ANO,"1184    (55,33%)","929    (43,41%)",ANO      (1017),
241.0,"Trnová                    (Plzeň-sever, PLK)",Má obec odstranit budovu čp. 290 v obci Trnová?,7. - 8. 10. 2016,721,0.42996,ANO,"205      (66,56%)","81      (26,3%)",ANO             (181),
242.0,"Chroustov        (Nymburk, STK)","Chci, aby obec Chroustov převzala do svého vlastnictví kostel Nanebevzetí Panny Marie v Chroustově s přilehlým pozemkem hřbitova od Římskokatolické farnosti Městec Králové za cenu maximálně 50 000,- Kč?",7. - 8. 10. 2016,172,0.5,ANO,"47     (54,65%)","39     (45,35%)",ANO         (43),
243.0,Městská část Praha - Dolní Chabry       (Praha),"1) Chcete, aby Městská část Praha - Dolní Chabry podnikla veškeré kroky, aby k výstavbě dalších domů projektu ""Nové Chabry"" došlo až po dostatečném navýšení kapacit mateřských škol a základních škol?",26. 11. 2016   9:00 - 18:00,2974,0.429,ANO,"1117             (87,61%)","72       (5,65%)",ANO        (744),
,,"2) Chcete, aby Městská část Praha - Dolní Chabry podnikla veškeré kroky proti navýšení rozsahu výstavby projektu ""Nové Chabry"" a území směrem ke škole oproti platnému územnímu plánu?",,,,,"1176        (92,24%)","49      (3,84%)",,
,,"Chcete, aby Městská část Praha - Dolní Chabry podnikla veškeré kroky proti další výstavbě domů v projektu ""Nové Chabry"" a to do doby, než bude vyřešeno odpovídající dopravní napojení této oblasti, včetně pohybu chodců na zastávku MHD v ulici Ústecká?",,,,,"1133      (88,86%)","57     (4,47%)",,
244.0,"Králíky                  (Ústí nad Orlicí, PAK)","Souhlasíte s tím, aby v areálu bývalého Dětského výchovného ústavu v Králíkách zřídilo Ministerstvo spravedlnosti ČR ženskou věznici s dohledem?",25. 11. 2016    10:00 - 22:00,3513,0.4472,ANO,"219             (13,94%)","1348     (85,81%)",ANO            (879),
245.0,"Dětkovice    (Prostějov, OLK)",Souhlasíte s vybudováním tlakové kanalizace s napojením na čistírnu odpadních vod (ČOV) svazku obcí ČOV Výšovice?,7. 10. a 8. 10. 2016,440,0.618,ANO,"80       (29,42%)","179      (65,81%)",ANO      (110),
246.0,"Hruška        (Prostějov, OLK)",1. Jste pro demolici (zbourání) místní školy parc. Č. 54 (č. p. 26)?,28. 1. 2017       9:00 - 17:00,neoznámeno,,,,,,
,,2. Jste pro vybudování víceúčelového sportovního hřiště v katastru obce Hruška?,,,,,,,,
247.0,"Seč                                (Ústí nad Orlicí, PAK)",Souhlasíte s výstavbou velkokapacitní odchovny skotu v obci Seč?,3. 5. 2017     16:30 - 20:00,neoznámeno,,,,,,
248.0,"Věteřov        (Hodonín, JMK)","Souhlasíte s tím, aby obec Věteřov uzavřela podle ust. § 26a zákona č. 128/2000 Sb., o obcích dohodu o změně hranic obcí s obcí Strážovice, jejimž předmětem bude směna pozemků,                                                                    - parc. č. st. 221, o výměře 517 m2, jehož součástí je stavební objekt č.p. 164                                                         - parc. č. st. 219/2, o výměře 224 m2, jehož součástí je stavební objekt, budova bez č.p. nebo č. ev.                     - parc. č. st. 219/1, o výměře 928 m2, jeho součástí je stavební objekt č.p. 165                                                         - parc. č. st. 444, o výměře 229 m2, jeho součástí je stavební objekt č.p. 1200                                                       - parc. č. 339, o výměře 137 m2, jeho součástí je stavební objekt č.p. 1123,                                                     v katastrálním území Věteřov, za jakékoli pozemky, náležející do katastrálního území obce Strážovice, kdy v důsledku této směny dojde k převodu části sídel, které jsou součástí pozemků v katastrálním území obce Věteřov a osob, které v nich mají trvalý pobyt, pod výkon samosprávy obce Strážovice?",26.5.2017     7:00 - 22:00        ,422,0.547,ANO,"3        (1,29%)","221              (95,6%)",ANO        (106),
